Job Title,Job Description,Platform,OnSite/Remote/Hybrid,Country,Salary Min,Salary Max,Candidates,Company,Selected_for_interview,Rejected,Hired,Started,Role_start_date,Candidate_start_date,Started Salary,Currency,Over_budget,Recruiter,Hiring Manager,Language required
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",ejobs.ro,Remote,Romania,4500,9500,38,IBM,30,21,9,2,10/27/2024,12/6/2024,7028,RON,No,Mihai Ionescu,Mihai Dimov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Bulgaria,2500,6200,3,Amazon,2,2,1,0,12/9/2024,1/24/2025,2768,BGN,No,Mihai Ionescu,Mihai Dumitru,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Hybrid,Romania,5000,10000,24,Cisco,19,13,6,1,10/3/2024,11/7/2024,5810,RON,No,Mihai Ionescu,Mihai Dumitru,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Onsite,Bulgaria,2500,6200,37,Oracle,30,21,9,2,4/12/2024,8/6/2024,2911,BGN,No,Mihai Ivanov,Mihai Dumitru,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",LinkedIn,Hybrid,Bulgaria,2300,4800,83,Intel,66,46,20,5,8/7/2024,11/14/2024,3369,BGN,No,Mihai Ivanov,Mihai Dumitru,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Hybrid,Romania,4000,10000,85,SAP,68,48,20,5,11/8/2024,12/11/2024,5804,RON,No,Mihai Ivanov,Mihai Ionescu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Hybrid,Romania,5000,10000,35,Adobe,28,20,8,2,7/16/2024,9/21/2024,7367,RON,No,Mihai Kirov,Mihai Ionescu,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Google,Remote,Bulgaria,2300,7500,70,Atos,56,39,17,4,7/10/2024,8/20/2024,2795,BGN,No,Mihai Marin,Mihai Ivanov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Remote,Romania,4500,9500,74,Eviden,59,41,18,5,1/2/2024,8/18/2024,4532,RON,No,Mihai Marin,Mihai Kirov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Google,Onsite,Romania,4500,9500,88,NTT Data,70,49,21,5,3/29/2024,8/12/2024,8801,RON,No,Mihai Nistor,Mihai Marin,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Remote,Romania,5000,10000,92,Accenture,74,52,22,6,8/23/2024,10/25/2024,9916,RON,No,Mihai Nistor,Mihai Marin,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Jobs.bg,Remote,Romania,4500,9500,51,Salesforce,41,29,12,3,1/24/2024,3/25/2024,4500,RON,No,Mihai Petrov,Mihai Marin,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Onsite,Romania,4500,9500,32,Dell Technologies,26,18,8,2,12/28/2024,4/28/2025,6693,RON,No,Mihai Petrov,Mihai Nikolov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",bestjobs.eu,Onsite,Bulgaria,2300,4800,10,Hewlett Packard,8,6,2,1,5/7/2024,11/9/2024,3084,BGN,No,Mihai Petrov,Mihai Petrov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Onsite,Romania,4500,9500,40,TCS,32,15,10,2,10/17/2024,12/30/2024,6014,RON,No,Mihai Popescu,Mihai Popescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Jobs.bg,Onsite,Bulgaria,2500,6200,88,Capgemini,70,49,21,5,6/1/2024,11/29/2024,2932,BGN,No,Mihai Popescu,Mihai Popescu,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Hybrid,Romania,4000,10000,72,DXC Technology,58,40,17,4,11/25/2024,12/31/2024,5669,RON,No,Mihai Radu,Mihai Radu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Hybrid,Romania,5000,10000,96,Infosys,77,54,7,2,5/11/2024,11/13/2024,9081,RON,No,Mihai Radu,Mihai Radu,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Hybrid,Romania,4500,9500,34,Cognizant,27,19,8,2,8/25/2024,9/27/2024,6067,RON,No,Mihai Radu,Mihai Radu,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",bestjobs.eu,Remote,Romania,4500,9500,74,Fujitsu,59,41,18,5,10/28/2024,12/14/2024,5232,RON,No,Mihai Stoica,Mihai Radu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",LinkedIn,Hybrid,Romania,5000,10000,85,VMware,68,48,20,5,10/12/2024,11/29/2024,7437,RON,No,Mihai Stoica,Mihai Stoyanov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Onsite,Romania,5000,10000,7,SAP,6,4,2,0,4/7/2024,8/27/2024,8976,RON,No,Mihai Stoica,Mihai Todorov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",Google,Hybrid,Bulgaria,2200,5700,74,Hitachi,59,41,18,5,5/16/2024,12/19/2024,3504,BGN,No,Mihai Stoica,Mihai Todorov,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Hybrid,Bulgaria,2600,8300,93,Nokia,74,52,22,6,9/25/2024,12/8/2024,3706,BGN,No,Mihai Stoyanov,Mihai Todorov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",bestjobs.eu,Hybrid,Romania,4500,9500,19,Ericsson,15,11,5,1,1/17/2024,7/11/2024,4656,RON,No,Mihai Todorov,Mihai Toma,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Hybrid,Romania,4500,9500,54,Wipro,43,30,13,3,4/22/2024,10/7/2024,8239,RON,No,Mihai Todorov,Mihai Toma,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",LinkedIn,Onsite,Bulgaria,3000,5000,40,VMware,32,22,10,2,10/17/2024,12/25/2024,4007,BGN,No,Mihai Todorov,Mihai Vasiliev,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Jobs.bg,Hybrid,Romania,4500,9500,51,Red Hat,41,29,12,3,6/28/2024,10/3/2024,8123,RON,No,Nikola Borisov,Mihai Vasiliev,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Jobs.bg,Onsite,Romania,5000,10000,38,ServiceNow,30,21,8,2,10/29/2024,12/4/2024,5825,RON,No,Nikola Borisov,Nikola Borisov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",bestjobs.eu,Onsite,Bulgaria,2200,5700,100,LG Electronics,80,56,24,6,6/5/2024,11/9/2024,3632,BGN,No,Nikola Dimov,Nikola Dimov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",Jobs.bg,Remote,Bulgaria,2300,7500,67,Google,54,38,16,4,1/22/2024,3/7/2024,3104,BGN,No,Nikola Georgescu,Nikola Dumitru,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",bestjobs.eu,Onsite,Romania,4500,9500,52,Microsoft,37,26,11,3,1/19/2024,9/12/2024,4709,RON,No,Nikola Georgescu,Nikola Dumitru,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",ejobs.ro,Hybrid,Bulgaria,3000,5000,81,Apple,65,45,19,5,3/13/2024,5/24/2024,5182,BGN,Yes,Nikola Georgescu,Nikola Ionescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Romania,4500,9500,28,IBM,22,16,7,2,12/4/2024,6/5/2025,7952,RON,No,Nikola Georgiev,Nikola Ionescu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Google,Onsite,Romania,5000,10000,11,Amazon,9,6,3,1,8/11/2024,10/24/2024,8757,RON,No,Nikola Georgiev,Nikola Ionescu,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",ejobs.ro,Remote,Bulgaria,3000,5000,82,Cisco,66,46,20,5,12/4/2024,5/7/2025,4877,BGN,No,Nikola Georgiev,Nikola Ionescu,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Onsite,Romania,4000,10000,89,Oracle,71,50,21,6,2/17/2024,7/14/2024,5647,RON,No,Nikola Ionescu,Nikola Ivanov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",Jobs.bg,Hybrid,Bulgaria,2300,4800,95,Intel,76,53,23,6,12/14/2024,2/28/2025,3904,BGN,No,Nikola Ivanov,Nikola Ivanov,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",LinkedIn,Onsite,Bulgaria,2600,8300,3,SAP,2,2,1,0,4/4/2024,5/18/2024,4553,BGN,No,Nikola Nikolov,Nikola Kirov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Google,Onsite,Bulgaria,2500,6200,17,Adobe,14,10,4,1,9/15/2024,10/16/2024,2657,BGN,No,Nikola Radu,Nikola Kirov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",bestjobs.eu,Remote,Bulgaria,2200,5700,45,Atos,36,25,11,3,9/21/2024,10/29/2024,3889,BGN,No,Nikola Radu,Nikola Marin,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Google,Onsite,Romania,4500,9500,65,Eviden,52,36,16,4,9/25/2024,11/25/2024,7170,RON,No,Nikola Radu,Nikola Nikolov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",Google,Onsite,Romania,5000,10000,96,NTT Data,77,54,23,6,5/2/2024,10/15/2024,7530,RON,No,Nikola Stoica,Nikola Nikolov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",ejobs.ro,Onsite,Bulgaria,2300,4800,74,Accenture,59,39,18,5,5/15/2024,9/29/2024,2992,BGN,No,Nikola Stoica,Nikola Petrov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",Jobs.bg,Onsite,Romania,4000,10000,40,Salesforce,32,22,10,2,6/12/2024,8/2/2024,4962,RON,No,Nikola Stoyanov,Nikola Petrov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Jobs.bg,Remote,Romania,4500,9500,13,Dell Technologies,10,7,3,1,8/3/2024,12/28/2024,6985,RON,No,Nikola Todorov,Nikola Petrov,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Google,Remote,Romania,4500,9500,89,Hewlett Packard,71,50,21,6,3/1/2024,6/5/2024,6218,RON,No,Nikola Toma,Nikola Radu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",ejobs.ro,Onsite,Bulgaria,2500,6200,20,TCS,16,11,5,1,7/6/2024,12/25/2024,3677,BGN,No,Petar Constantin,Nikola Stoica,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",bestjobs.eu,Remote,Romania,4500,9500,32,Capgemini,26,18,8,2,7/17/2024,12/12/2024,5566,RON,No,Petar Constantin,Nikola Stoica,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",bestjobs.eu,Hybrid,Romania,4500,9500,31,DXC Technology,25,17,7,2,1/31/2024,8/4/2024,5120,RON,No,Petar Dimov,Nikola Stoyanov,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Remote,Bulgaria,2300,7500,19,Infosys,15,11,5,1,12/31/2024,11/23/2025,2946,BGN,No,Petar Dumitru,Nikola Stoyanov,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Hybrid,Romania,4000,10000,91,Cognizant,73,51,22,6,8/14/2024,10/29/2024,5230,RON,No,Petar Dumitru,Nikola Todorov,English
Software Developer,"1. Software Developers design and build applications or systems to meet the needs of clients and end-users. You will write clean, efficient, and well-documented code, and may specialize in specific areas such as web, mobile, or desktop applications. You will need strong programming skills in languages like Java, C#, Python, or JavaScript and should be comfortable with agile methodologies and version control systems like Git.",Google,Hybrid,Romania,4500,9500,80,Fujitsu,64,45,19,5,3/13/2024,5/19/2024,4757,RON,No,Petar Georgescu,Nikola Toma,English
DevOps Engineer,"As a DevOps Engineer, your role will involve automating and optimizing processes to support continuous integration and continuous deployment (CI/CD) pipelines. You will work closely with development and operations teams to ensure seamless development workflows and maintain robust production systems. Familiarity with tools like Docker, Kubernetes, Jenkins, and Terraform is required, along with experience in cloud computing (AWS, Azure, GCP) and infrastructure-as-code practices.",Jobs.bg,Hybrid,Bulgaria,2600,8300,40,VMware,32,22,10,2,3/15/2024,12/13/2024,3468,BGN,No,Petar Georgiev,Nikola Toma,English
Backend Developer,"The Backend Developer will be responsible for building and maintaining the server-side components of web applications. You will design and implement APIs, handle database interactions, and ensure high performance and scalability. Strong knowledge of backend languages such as Java, Python, Node.js, or Ruby, along with experience in working with databases (SQL or NoSQL), is essential for this role.",LinkedIn,Onsite,Romania,4500,9500,14,SAP,11,8,3,1,11/8/2024,12/21/2024,8000,RON,No,Petar Georgiev,Petar Borisov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",bestjobs.eu,Onsite,Bulgaria,3000,5000,16,Hitachi,13,9,4,1,3/20/2024,10/31/2024,3980,BGN,No,Petar Georgiev,Petar Borisov,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",LinkedIn,Onsite,Romania,4500,9500,7,Nokia,6,4,2,0,8/4/2024,9/15/2024,7724,RON,No,Petar Ionescu,Petar Constantin,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",Jobs.bg,Remote,Bulgaria,2500,6200,51,Ericsson,41,29,12,3,3/31/2024,11/28/2024,2916,BGN,No,Petar Ivanov,Petar Dimov,English
Full Stack Developer,"A Full Stack Developer is responsible for both the frontend and backend development of web applications. You will work on server-side logic, database management, and user interface design. Expertise in both frontend technologies (HTML, CSS, JavaScript) and backend languages (such as Node.js, Python, or Java) is essential. This role requires an understanding of RESTful APIs, databases, and cloud platforms to deliver scalable and reliable applications.",LinkedIn,Onsite,Bulgaria,3000,5000,46,Wipro,37,26,11,3,4/4/2024,10/21/2024,5602,BGN,Yes,Petar Ivanov,Petar Dumitru,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Remote,Romania,4000,10000,17,VMware,14,10,4,1,4/6/2024,10/7/2024,6679,RON,No,Petar Kirov,Petar Dumitru,English
Frontend Developer,"As a Frontend Developer, you will be responsible for creating user-facing features for web applications. You will work closely with UX/UI designers to implement modern designs and ensure a smooth user experience. Your main focus will be on writing clean and efficient code using technologies such as HTML, CSS, and JavaScript (React, Angular, or Vue). You should have a solid understanding of cross-browser compatibility, responsive design, and web performance optimization.",LinkedIn,Hybrid,Bulgaria,2200,5700,66,Red Hat,53,37,16,4,6/14/2024,8/7/2024,4026,BGN,No,Petar Kirov,Petar Georgescu,English
System Engineer,"The System Engineer will design, implement, and maintain complex IT systems and infrastructure. You will work on managing servers, storage, and networks, ensuring all systems are highly available and secure. In this role, you will collaborate with software development teams to optimize system performance and provide support for hardware and software configuration. Strong knowledge of cloud services, virtualization, and automation tools is essential.",bestjobs.eu,Remote,Romania,4500,9500,72,ServiceNow,58,40,17,4,8/27/2024,10/6/2024,4828,RON,No,Petar Kirov,Petar Georgiev,English
